"","SampleID","SampleName","Treatment","seq_total","ASV_count"
"1","RS301_S17","VIMS1_CONA_1","C",57157,156
"2","RS302_S29","VIMS1_CONA_2","C",57566,145
"3","RS303_S41","VIMS1_CONA_3","C",54115,109
"4","RS304_S53","VIMS1_CONB_1","C",61102,97
"5","RS305_S65","VIMS1_CONB_2","C",59101,107
"6","RS306_S77","VIMS1_CONB_3","C",45640,115
"7","RS307_S89","VIMS1_CONC_1","C",73299,117
"8","RS308_S101","VIMS1_CONC_2","C",61695,112
"9","RS309_S18","VIMS1_CONC_3","C",46368,166
"10","RS319_S43","VIMS1_S4A_1","S4",50500,97
"11","RS320_S55","VIMS1_S4A_2","S4",67472,115
"12","RS321_S67","VIMS1_S4A_3","S4",67596,131
"13","RS322_S79","VIMS1_S4B_1","S4",76897,112
"14","RS323_S91","VIMS1_S4B_2","S4",93568,117
"15","RS324_S103","VIMS1_S4B_3","S4",90071,104
"16","RS325_S20","VIMS1_S4C_1","S4",62785,151
"17","RS326_S32","VIMS1_S4C_2","S4",60327,123
"18","RS327_S44","VIMS1_S4C_3","S4",35464,94
"19","RS328_S56","VIMS1_S4D_1","S4",55770,107
"20","RS329_S68","VIMS1_S4D_2","S4",5091,47
"21","RS330_S80","VIMS1_S4D_3","S4",65654,121
"22","RS331_S92","VIMS1_S4E_1","S4",87209,147
"23","RS332_S104","VIMS1_S4E_2","S4",112561,150
"24","RS333_S21","VIMS1_S4E_3","S4",62022,142
"25","RS334_S33","VIMS1_S4F_1","S4",57252,119
"26","RS335_S45","VIMS1_S4F_2","S4",60118,106
"27","RS336_S57","VIMS1_S4F_3","S4",52561,131
"28","RS337_S69","VIMS2_CONA_1","C",47754,174
"29","RS338_S81","VIMS2_CONA_2","C",61160,191
"30","RS339_S93","VIMS2_CONA_3","C",55503,160
"31","RS340_S105","VIMS2_CONB_1","C",47845,153
"32","RS341_S22","VIMS2_CONB_2","C",61099,168
"33","RS342_S34","VIMS2_CONB_3","C",45749,155
"34","RS343_S46","VIMS2_CONC_1","C",42417,154
