#SampleID,SampleName,Trial,Treatment,SampleNumber,Tank_Replicate,Type,Num,Name,Hatchery,UV_NUV,Condition,Sample Type,Location
RS301_S17,VIMS1_CONA_1,T1,C,1,A,UV,1,T1,VIMS,N,C_UV,Larvae,Virginia
RS302_S29,VIMS1_CONA_2,T1,C,2,A,UV,1,T1,VIMS,N,C_UV,Larvae,Virginia
RS303_S41,VIMS1_CONA_3,T1,C,3,A,UV,1,T1,VIMS,N,C_UV,Larvae,Virginia
RS304_S53,VIMS1_CONB_1,T1,C,4,B,UV,2,T1,VIMS,N,C_UV,Larvae,Virginia
RS305_S65,VIMS1_CONB_2,T1,C,5,B,UV,2,T1,VIMS,N,C_UV,Larvae,Virginia
RS306_S77,VIMS1_CONB_3,T1,C,6,B,UV,2,T1,VIMS,N,C_UV,Larvae,Virginia
RS307_S89,VIMS1_CONC_1,T1,C,7,C,UV,3,T1,VIMS,N,C_UV,Larvae,Virginia
RS308_S101,VIMS1_CONC_2,T1,C,8,C,UV,3,T1,VIMS,N,C_UV,Larvae,Virginia
RS309_S18,VIMS1_CONC_3,T1,C,9,C,UV,3,T1,VIMS,N,C_UV,Larvae,Virginia
RS319_S43,VIMS1_S4A_1,T1,S4,10,A,UV,4,T1,VIMS,N,S4_UV,Larvae,Virginia
RS320_S55,VIMS1_S4A_2,T1,S4,11,A,UV,4,T1,VIMS,N,S4_UV,Larvae,Virginia
RS321_S67,VIMS1_S4A_3,T1,S4,12,A,UV,4,T1,VIMS,N,S4_UV,Larvae,Virginia
RS322_S79,VIMS1_S4B_1,T1,S4,13,B,UV,5,T1,VIMS,N,S4_UV,Larvae,Virginia
RS323_S91,VIMS1_S4B_2,T1,S4,14,B,UV,5,T1,VIMS,N,S4_UV,Larvae,Virginia
RS324_S103,VIMS1_S4B_3,T1,S4,15,B,UV,5,T1,VIMS,N,S4_UV,Larvae,Virginia
RS325_S20,VIMS1_S4C_1,T1,S4,16,C,UV,6,T1,VIMS,N,S4_UV,Larvae,Virginia
RS326_S32,VIMS1_S4C_2,T1,S4,17,C,UV,6,T1,VIMS,N,S4_UV,Larvae,Virginia
RS327_S44,VIMS1_S4C_3,T1,S4,18,C,UV,6,T1,VIMS,N,S4_UV,Larvae,Virginia
RS328_S56,VIMS1_S4D_1,T1,S4,19,D,UV,7,T1,VIMS,N,S4_UV,Larvae,Virginia
RS329_S68,VIMS1_S4D_2,T1,S4,19,D,UV,7,T1,VIMS,N,S4_UV,Larvae,Virginia
RS330_S80,VIMS1_S4D_3,T1,S4,21,D,UV,7,T1,VIMS,N,S4_UV,Larvae,Virginia
RS331_S92,VIMS1_S4E_1,T1,S4,22,E,UV,8,T1,VIMS,N,S4_UV,Larvae,Virginia
RS332_S104,VIMS1_S4E_2,T1,S4,23,E,UV,8,T1,VIMS,N,S4_UV,Larvae,Virginia
RS333_S21,VIMS1_S4E_3,T1,S4,24,E,UV,8,T1,VIMS,N,S4_UV,Larvae,Virginia
RS334_S33,VIMS1_S4F_1,T1,S4,25,F,UV,9,T1,VIMS,N,S4_UV,Larvae,Virginia
RS335_S45,VIMS1_S4F_2,T1,S4,26,F,UV,9,T1,VIMS,N,S4_UV,Larvae,Virginia
RS336_S57,VIMS1_S4F_3,T1,S4,27,F,UV,9,T1,VIMS,N,S4_UV,Larvae,Virginia
RS337_S69,VIMS2_CONA_1,T2,C,28,A,UV,10,T2,VIMS,N,C_UV,Larvae,Virginia
RS338_S81,VIMS2_CONA_2,T2,C,29,A,UV,10,T2,VIMS,N,C_UV,Larvae,Virginia
RS339_S93,VIMS2_CONA_3,T2,C,30,A,UV,10,T2,VIMS,N,C_UV,Larvae,Virginia
RS340_S105,VIMS2_CONB_1,T2,C,31,B,UV,11,T2,VIMS,N,C_UV,Larvae,Virginia
RS341_S22,VIMS2_CONB_2,T2,C,32,B,UV,11,T2,VIMS,N,C_UV,Larvae,Virginia
RS342_S34,VIMS2_CONB_3,T2,C,33,B,UV,11,T2,VIMS,N,C_UV,Larvae,Virginia
RS343_S46,VIMS2_CONC_1,T2,C,34,C,UV,12,T2,VIMS,N,C_UV,Larvae,Virginia
