#SampleID,SampleName,ProjectName,Treatment,SampleNumber,TankLocation,SampleType,Type,Num,Name,Hatchery,Year,Month,Season,season,Location
RS301_S17,VIMS1_CONA_1,T1,C,1,A,larvae,UV,1,T1,VIMS,2019,June,Summer,May_June_July,Virginia
RS302_S29,VIMS1_CONA_2,T1,C,2,A,larvae,UV,1,T1,VIMS,2019,June,Summer,May_June_July,Virginia
RS303_S41,VIMS1_CONA_3,T1,C,3,A,larvae,UV,1,T1,VIMS,2019,June,Summer,May_June_July,Virginia
RS304_S53,VIMS1_CONB_1,T1,C,4,B,larvae,UV,1,T1,VIMS,2019,June,Summer,May_June_July,Virginia
RS305_S65,VIMS1_CONB_2,T1,C,5,B,larvae,UV,1,T1,VIMS,2019,June,Summer,May_June_July,Virginia
RS306_S77,VIMS1_CONB_3,T1,C,6,B,larvae,UV,1,T1,VIMS,2019,June,Summer,May_June_July,Virginia
RS307_S89,VIMS1_CONC_1,T1,C,7,C,larvae,UV,1,T1,VIMS,2019,June,Summer,May_June_July,Virginia
RS308_S101,VIMS1_CONC_2,T1,C,8,C,larvae,UV,1,T1,VIMS,2019,June,Summer,May_June_July,Virginia
RS309_S18,VIMS1_CONC_3,T1,C,9,C,larvae,UV,1,T1,VIMS,2019,June,Summer,May_June_July,Virginia
RS319_S43,VIMS1_S4A_1,T1,S4,10,A,larvae,UV,1,T1,VIMS,2019,June,Summer,May_June_July,Virginia
RS320_S55,VIMS1_S4A_2,T1,S4,11,A,larvae,UV,1,T1,VIMS,2019,June,Summer,May_June_July,Virginia
RS321_S67,VIMS1_S4A_3,T1,S4,12,A,larvae,UV,1,T1,VIMS,2019,June,Summer,May_June_July,Virginia
RS322_S79,VIMS1_S4B_1,T1,S4,13,B,larvae,UV,1,T1,VIMS,2019,June,Summer,May_June_July,Virginia
RS323_S91,VIMS1_S4B_2,T1,S4,14,B,larvae,UV,1,T1,VIMS,2019,June,Summer,May_June_July,Virginia
