"","performance","FeatureID","Taxa","Order","Genus","Correlation","p.adj"
"1","Growth Rate","ASV_271","ASV_271_Alphaproteobacteria_Unknown","o__Rhodobacterales","Unknown",0.801208131538764,1.29592187624723e-06
"2","Growth Rate","ASV_308","ASV_308_Bdellovibrionia_Peredibacter","o__Bacteriovoracales","Peredibacter",-0.785038952547104,2.54469340561623e-06
"3","Growth Rate","ASV_303","ASV_303_Alphaproteobacteria_Henriciella","o__Caulobacterales","Henriciella",0.773864701259686,4.08593198591788e-06
"4","Growth Rate","ASV_26","ASV_26_Gammaproteobacteria_Vibrio","o__Vibrionales","Vibrio",0.754182577102268,1.28513132653008e-05
"5","Growth Rate","ASV_34","ASV_34_Gammaproteobacteria_Unknown","Unknown","Unknown",0.733141891763431,4.13674796400684e-05
"6","Percentage Survival","ASV_813","ASV_813_Gammaproteobacteria_Unknown","Unknown","Unknown",0.690595235039382,0.000401328205338569
"7","Percentage Survival","ASV_437","ASV_437_Alphaproteobacteria_uncultured","o__Rhodobacterales","uncultured",0.680823089702135,0.000467521786732854
"8","Growth Rate","ASV_69","ASV_69_Alphaproteobacteria_Seohaeicola","o__Rhodobacterales","Seohaeicola",-0.679800262295961,0.000467521786732854
"9","Percentage Survival","ASV_964","ASV_964_Unknown_Unknown","Unknown","Unknown",0.683607791130263,0.000467521786732854
"10","Growth Rate","ASV_250","ASV_250_Alphaproteobacteria_Litorimicrobium","o__Rhodobacterales","Litorimicrobium",0.667891511715775,0.000758559697432705
"11","Percentage Survival","ASV_308","ASV_308_Bdellovibrionia_Peredibacter","o__Bacteriovoracales","Peredibacter",-0.662470923076333,0.000819493477571282
"12","Percentage Survival","ASV_554","ASV_554_Gammaproteobacteria_Alishewanella","o__Alteromonadales","Alishewanella",-0.662473625364591,0.000819493477571282
"13","Percentage Survival","ASV_369","ASV_369_Alphaproteobacteria_Erythrobacter","o__Sphingomonadales","Erythrobacter",-0.653877915357987,0.000927036789308213
"14","Growth Rate","ASV_457","ASV_457_Bacteroidia_uncultured","o__Cytophagales","uncultured",0.65719776139606,0.000927036789308213
"15","Percentage Survival","ASV_515","ASV_515_Bacteroidia_Unknown","o__Flavobacteriales","Unknown",0.653659112196843,0.000927036789308213
"16","Percentage Survival","ASV_885","ASV_885_Gammaproteobacteria_EC3","o__EC3","EC3",0.655556207682027,0.000927036789308213
"17","Percentage Survival","ASV_596","ASV_596_Bdellovibrionia_Peredibacter","o__Bacteriovoracales","Peredibacter",0.649711519899712,0.00104442105778924
"18","Growth Rate","ASV_257","ASV_257_Gammaproteobacteria_Cocleimonas","o__Thiotrichales","Cocleimonas",-0.6468192845918,0.00108666243013742
"19","Growth Rate","ASV_321","ASV_321_Gammaproteobacteria_Rheinheimera","o__Alteromonadales","Rheinheimera",-0.646355670184857,0.00108666243013742
"20","Growth Rate","ASV_505","ASV_505_Babeliae_Vermiphilaceae","o__Babeliales","Vermiphilaceae",0.639870440578294,0.00137473885622109
"21","Percentage Survival","ASV_169","ASV_169_Unknown_Unknown","Unknown","Unknown",0.632926088059761,0.00176639030491505
