"","Num","Treatment","Name","Hatchery","PhylumOther","sum_abun"
"1",1,"C","T1","VIMS","Bacteroidota",0.580168776371308
"2",1,"C","T1","VIMS","Firmicutes",29.6677215189873
"3",1,"C","T1","VIMS","Myxococcota",0.213607594936709
"4",1,"C","T1","VIMS","Proteobacteria",68.2753164556962
"5",1,"C","T1","VIMS","Unknown",0.814873417721519
"6",1,"C","T1","VIMS","Others",0.44831223628692
"7",2,"C","T1","VIMS","Bacteroidota",0.337552742616034
"8",2,"C","T1","VIMS","Firmicutes",11.7167721518987
"9",2,"C","T1","VIMS","Myxococcota",0.15295358649789
"10",2,"C","T1","VIMS","Proteobacteria",87.4261603375527
"11",2,"C","T1","VIMS","Unknown",0.179324894514768
"12",2,"C","T1","VIMS","Others",0.187236286919831
"13",3,"C","T1","VIMS","Bacteroidota",0.15295358649789
"14",3,"C","T1","VIMS","Firmicutes",1.90664556962025
"15",3,"C","T1","VIMS","Myxococcota",0.282172995780591
"16",3,"C","T1","VIMS","Proteobacteria",96.3976793248945
"17",3,"C","T1","VIMS","Unknown",1.04694092827004
"18",3,"C","T1","VIMS","Others",0.213607594936709
"19",4,"S4","T1","VIMS","Bacteroidota",0.300632911392405
"20",4,"S4","T1","VIMS","Firmicutes",10.0791139240506
"21",4,"S4","T1","VIMS","Myxococcota",0.0131856540084388
"22",4,"S4","T1","VIMS","Proteobacteria",89.1033755274262
"23",4,"S4","T1","VIMS","Unknown",0.327004219409283
"24",4,"S4","T1","VIMS","Others",0.17668776371308
"25",5,"S4","T1","VIMS","Bacteroidota",0.100210970464135
"26",5,"S4","T1","VIMS","Firmicutes",10.954641350211
"27",5,"S4","T1","VIMS","Myxococcota",0.0210970464135021
"28",5,"S4","T1","VIMS","Proteobacteria",88.623417721519
"29",5,"S4","T1","VIMS","Unknown",0.181962025316456
"30",5,"S4","T1","VIMS","Others",0.118670886075949
"31",6,"S4","T1","VIMS","Bacteroidota",0.226793248945148
"32",6,"S4","T1","VIMS","Firmicutes",8.88449367088608
"33",6,"S4","T1","VIMS","Myxococcota",0.0685654008438819
"34",6,"S4","T1","VIMS","Proteobacteria",90.0870253164557
"35",6,"S4","T1","VIMS","Unknown",0.487869198312236
"36",6,"S4","T1","VIMS","Others",0.245253164556962
"37",7,"S4","T1","VIMS","Bacteroidota",0.40743670886076
"38",7,"S4","T1","VIMS","Firmicutes",2.20727848101266
"39",7,"S4","T1","VIMS","Myxococcota",0.0474683544303797
"40",7,"S4","T1","VIMS","Proteobacteria",96.317246835443
"41",7,"S4","T1","VIMS","Unknown",0.751582278481013
"42",7,"S4","T1","VIMS","Others",0.268987341772152
"43",8,"S4","T1","VIMS","Bacteroidota",0.630274261603376
"44",8,"S4","T1","VIMS","Firmicutes",24.0163502109705
"45",8,"S4","T1","VIMS","Myxococcota",0.0210970464135021
"46",8,"S4","T1","VIMS","Proteobacteria",74.8154008438819
"47",8,"S4","T1","VIMS","Unknown",0.392932489451477
"48",8,"S4","T1","VIMS","Others",0.123945147679325
"49",9,"S4","T1","VIMS","Bacteroidota",0.24789029535865
"50",9,"S4","T1","VIMS","Firmicutes",2.9746835443038
"51",9,"S4","T1","VIMS","Myxococcota",0.108122362869198
"52",9,"S4","T1","VIMS","Proteobacteria",94.6439873417721
"53",9,"S4","T1","VIMS","Unknown",1.27637130801688
"54",9,"S4","T1","VIMS","Others",0.748945147679325
"55",10,"C","T2","VIMS","Bacteroidota",0.606540084388186
"56",10,"C","T2","VIMS","Firmicutes",0.287447257383966
"57",10,"C","T2","VIMS","Myxococcota",0.292721518987342
"58",10,"C","T2","VIMS","Proteobacteria",96.7405063291139
"59",10,"C","T2","VIMS","Unknown",0.17668776371308
"60",10,"C","T2","VIMS","Others",1.8960970464135
"61",11,"C","T2","VIMS","Bacteroidota",0.912447257383966
"62",11,"C","T2","VIMS","Firmicutes",0.632911392405063
"63",11,"C","T2","VIMS","Myxococcota",0.089662447257384
"64",11,"C","T2","VIMS","Proteobacteria",95.7172995780591
"65",11,"C","T2","VIMS","Unknown",0.239978902953586
"66",11,"C","T2","VIMS","Others",2.40770042194093
"67",12,"C","T2","VIMS","Bacteroidota",0.435126582278481
"68",12,"C","T2","VIMS","Firmicutes",1.207805907173
"69",12,"C","T2","VIMS","Myxococcota",0.100210970464135
"70",12,"C","T2","VIMS","Proteobacteria",94.5226793248945
"71",12,"C","T2","VIMS","Unknown",0.595991561181435
"72",12,"C","T2","VIMS","Others",3.13818565400844
