"","Num","Treatment","Trial","Tank_Replicate","mean_div","sd_div"
"1","1","C","T1","A",0.647171682947932,0.0419943692473677
"2","10","C","T2","A",0.492565225166186,0.0532335459884779
"3","11","C","T2","B",0.716829568229455,0.128546463398446
"4","12","C","T2","C",0.28862303787001,0.0200620158711737
"5","13","S4","T2","A",0.573912001931369,0.139943876611289
"6","14","S4","T2","B",0.678651840742481,0.0145865104216186
"7","15","S4","T2","C",0.633657364462564,0.11136012251979
"8","16","C","T3","A",0.596460009391029,0.136733996590755
"9","17","C","T3","B",0.686282130688157,0.0844197215596552
"10","18","C","T3","C",0.250375304189904,0.0391322636618775
"11","19","C","T3","D",0.630554834818417,0.0285349325852479
"12","2","C","T1","B",0.593650031069755,0.0472201965292262
"13","20","S4","T3","A",0.262596337979933,0.255344321140358
"14","21","S4","T3","B",0.624889774155969,0.0692152550082446
"15","22","S4","T3","C",0.637224489767676,0.0820053137475648
"16","23","S4","T3","D",0.7609518604954,0.080015160415386
"17","24","C","T4","A",0.368328283501003,0.148052502177772
"18","25","C","T4","B",0.767451853139483,0.0295991823048286
"19","26","C","T4","C",0.688471809862796,0.0181024880170816
"20","27","C","T4","D",0.509096202536407,0.170716126225584
"21","28","S4","T4","A",0.358905413800466,0.0257886465581298
"22","29","S4","T4","B",0.540720056070716,0.281310431840376
"23","3","C","T1","C",0.538803951657498,0.00335638799755283
"24","30","S4","T4","C",0.71667966036238,0.0396378215230899
"25","31","S4","T4","D",0.353053681921554,0.043423130904386
"26","4","S4","T1","A",0.411067834847079,0.0056384526368523
"27","45","C","T7","A",0.62882219860654,0.0756747439163702
"28","46","C","T7","B",0.588602850049315,0.018877682082596
"29","47","C","T7","C",0.554628064243449,0.131690758452954
"30","48","C","T7","D",0.605946138898174,0.154557626055324
"31","49","S4","T7","A",0.417948797951133,0.130595080238297
"32","5","S4","T1","B",0.587811649316824,0.0215586217683132
"33","50","S4","T7","B",0.541283616683906,0.111716006744599
"34","51","S4","T7","C",0.666658662965166,0.0949479184451873
"35","52","S4","T7","D",0.589624382351655,0.0810182817135502
"36","54","C","T8","A",0.531310125894846,0.0359063972954798
"37","55","C","T8","B",0.555703422054003,0.0511768909185597
"38","56","C","T8","C",0.613560258592531,0.059310928348546
"39","57","S4","T8","A",0.491121965000426,0.161440632957301
"40","58","S4","T8","B",0.452567014406925,0.0691809074197143
"41","59","S4","T8","C",0.602657582711492,0.133509561998662
"42","6","S4","T1","C",0.521312671773665,0.0275436668152385
"43","60","C","T8","A",0.247299759016364,0.0857946517834968
"44","61","C","T8","B",0.39842542616231,0.180634944361272
"45","62","C","T8","C",0.561288469416206,0.0308722912364425
"46","63","S4","T8","A",0.53470214423903,0.0307427827163086
"47","64","S4","T8","B",0.60458761400893,0.0532412224807088
"48","65","S4","T8","C",0.550352441260656,0.279906457766515
"49","7","S4","T1","D",0.772786277503728,0.0823495813876992
"50","8","S4","T1","E",0.661433196543779,0.0402083343703253
"51","9","S4","T1","F",0.691587832712849,0.0214232049751311
