"","Num","Trial","Treatment","Tank_Replicate","mean_Chao1","sd_Chao1","mean_Simpsons","sd_Simpsons"
"1",1,"T1","C","A",118.56712962963,21.3092768159969,0.761081336290926,0.212122465051194
"2",2,"T1","C","B",99.4583333333333,10.4285765247868,0.920797915665225,0.0121051110873417
"3",3,"T1","C","C",101.212301587302,14.7407085888514,0.917048975524756,0.0105365548603895
"4",4,"T1","S4","A",110.538461538462,17.498173098968,0.868125675973402,0.0155944946905195
"5",5,"T1","S4","B",103.634615384615,13.8465678356914,0.819352062803771,0.0363763290115728
"6",6,"T1","S4","C",104.745726495727,11.9414325438271,0.906214707512151,0.0140656479740851
"7",7,"T1","S4","D",107.25,3.53553390593274,0.927078831016664,0.00499206156631678
"8",8,"T1","S4","E",130.675,33.9306001273187,0.867176325575495,0.0702222447150251
"9",9,"T1","S4","F",104.257816257816,10.1093008990207,0.924812659396197,0.00246872466896238
"10",10,"T2","C","A",167.844444444444,24.801105112773,0.938282435039791,0.00347253212736264
"11",11,"T2","C","B",134.660256410256,2.1077075144501,0.889022867929819,0.0133361140090139
"12",12,"T2","C","C",145.804761904762,7.11437655325444,0.926525125347167,0.00467641638521077
"13",13,"T2","S4","A",152.628787878788,7.92006596586047,0.938493117589329,0.00759751160909588
"14",14,"T2","S4","B",168.142857142857,12.6327643330301,0.884215620493511,0.093185741866114
"15",15,"T2","S4","C",141.593262946204,21.6065548639009,0.926737810780858,0.00113019448199264
"16",16,"T3","C","A",164.400877192982,14.4809494524788,0.921190514340651,0.0266476823418844
"17",17,"T3","C","B",165.085185185185,36.0873876489433,0.924369800846552,0.0285072378734563
"18",18,"T3","C","C",187.994708994709,57.0309377597983,0.915833329160658,0.0431853076394743
"19",19,"T3","C","D",190.968818620993,9.27661671933559,0.954596239418095,0.00914821913500166
"20",20,"T3","S4","A",220.013888888889,19.2954160023489,0.939297976586284,0.00975722664869398
"21",21,"T3","S4","B",325.400202337855,16.8059452490133,0.956394428810821,0.0124783012005712
"22",22,"T3","S4","C",187.574802390592,25.7259579467385,0.9442511090971,0.0126302097329875
"23",23,"T3","S4","D",209.6163003663,9.97032274138421,0.948141582211718,0.0117750101909975
"24",24,"T4","C","A",175.884920634921,12.4708408953825,0.871864013345885,0.02176443049169
"25",25,"T4","C","B",168.497855750487,26.7812762659436,0.882564430279603,0.0168791123122253
"26",26,"T4","C","C",162.252631578947,21.2001587565268,0.95432034629867,0.00861205671201768
"27",27,"T4","C","D",148.272727272727,8.09958676631864,0.900863418322384,0.0526825390892326
"28",28,"T4","S4","A",211.666666666667,52.3259018078045,0.926754958390082,0.00889205932163456
"29",29,"T4","S4","B",133.194444444444,43.341051663051,0.904366446015596,0.0145639591359042
"30",30,"T4","S4","C",175.52037037037,5.21036577628037,0.927579589609037,0.0113546783810461
"31",31,"T4","S4","D",192.861519607843,14.390930850753,0.948395418569407,0.00539193367147908
"32",45,"T7","C","A",184.270152505447,19.0089702899946,0.929284198412381,0.00415708178850005
"33",46,"T7","C","B",211.77380952381,37.8525322888743,0.953461000507397,0.00360817377448598
"34",47,"T7","C","C",198.635732323232,36.9033386857388,0.950098099596753,0.0109824462177582
"35",48,"T7","C","D",189.972222222222,14.2142175824588,0.956473137985366,0.00541954890972342
"36",49,"T7","S4","A",186.387820512821,16.3024985808001,0.936767102961598,0.00523326134885633
"37",50,"T7","S4","B",196.978571428571,20.2280203213871,0.927972964402072,0.0133133023697416
"38",51,"T7","S4","C",180.543823326432,20.2992164077772,0.925121395643059,0.00690337470416405
"39",52,"T7","S4","D",182.15873015873,32.3806139104626,0.933825179091225,0.0107275664487207
"40",54,"T8","C","A",117.311111111111,17.2135713039752,0.916736162574107,0.068176480452288
"41",55,"T8","C","B",101.141414141414,11.1055266039438,0.88299391540485,0.0280865451142742
"42",56,"T8","C","C",140.524675324675,7.72547703679924,0.92720756639561,0.0265697975447238
"43",57,"T8","S4","A",85.0634920634921,6.01289870771466,0.876359002797362,0.0241209323339146
"44",58,"T8","S4","B",106.285714285714,12.2048835993413,0.905122981259681,0.0266073665618976
"45",59,"T8","S4","C",155.779797979798,10.6597521206617,0.931719171440207,0.0115266751056842
"46",60,"T8","C","A",100.292989417989,13.496530588302,0.815833078800139,0.0768433420714546
"47",61,"T8","C","B",86.2984848484848,0.475784114295524,0.801537910424344,0.0517280957809227
"48",62,"T8","C","C",73.537037037037,7.86897591132443,0.830552174297655,0.0137440542434795
"49",63,"T8","S4","A",70,3.88908729652601,0.836430904252123,0.0624712635703743
"50",64,"T8","S4","B",89.4777777777778,2.05381307526954,0.877271954948459,0.0426092786155924
"51",65,"T8","S4","C",79.7,5.15339693794297,0.891564619719062,0.0335394366490803
